ID,State,State Abbreviation,Region,Year,Gender,EducationLevelofMother,EducationLevel,NumberOfBirths,AverageAgeOfMother ,AverageBirthWeight ,LowBirthWeight
1,Alabama,AL,Southeast,2016,F,8th grade or less,1,1052,27.8,3116.9,No
2,Alabama,AL,Southeast,2016,F,9th through 12th grade,2,3436,24.1,3040,Yes
3,Alabama,AL,Southeast,2016,F,High school graduate,3,8777,25.4,3080,Yes
4,Alabama,AL,Southeast,2016,F,Some college credit,4,6453,26.7,3121.9,No
5,Alabama,AL,Southeast,2016,F,Associate degree,5,2227,28.9,3174.3,No
6,Alabama,AL,Southeast,2016,F,Bachelor's degree,6,4453,30.3,3239,No
7,Alabama,AL,Southeast,2016,F,Master's degree,7,1910,32,3263.5,No
8,Alabama,AL,Southeast,2016,F,Doctorate,8,487,33.1,3196.7,No
9,Alabama,AL,Southeast,2016,F,Not Stated,9,65,27.7,3083.9,Yes
10,Alabama,AL,Southeast,2016,M,8th grade or less,1,1188,27.6,3232.9,No
11,Alabama,AL,Southeast,2016,M,9th through 12th grade,2,3657,23.9,3121.2,No
12,Alabama,AL,Southeast,2016,M,High school graduate,3,9284,25.2,3197.9,No
13,Alabama,AL,Southeast,2016,M,Some college credit,4,6516,26.7,3252.1,No
14,Alabama,AL,Southeast,2016,M,Associate degree,5,2460,29,3301.4,No
15,Alabama,AL,Southeast,2016,M,Bachelor's degree,6,4645,30.3,3376.1,No
16,Alabama,AL,Southeast,2016,M,Master's degree,7,1974,32.2,3358.2,No
17,Alabama,AL,Southeast,2016,M,Doctorate,8,511,32.8,3368.4,No
18,Alabama,AL,Southeast,2016,M,Not Stated,9,56,27.2,3107.7,No
19,Alabama,AL,Southeast,2017,F,8th grade or less,1,1012,27.6,3139.6,No
20,Alabama,AL,Southeast,2017,F,9th through 12th grade,2,3283,24.4,3040.6,Yes
21,Alabama,AL,Southeast,2017,F,High school graduate,3,8962,25.4,3068.8,Yes
22,Alabama,AL,Southeast,2017,F,Some college credit,4,6384,26.9,3112.3,No
23,Alabama,AL,Southeast,2017,F,Associate degree,5,2411,28.9,3197.2,No
24,Alabama,AL,Southeast,2017,F,Bachelor's degree,6,4335,30.5,3259.2,No
25,Alabama,AL,Southeast,2017,F,Master's degree,7,1874,32.1,3251.7,No
26,Alabama,AL,Southeast,2017,F,Doctorate,8,551,33.1,3230.8,No
27,Alabama,AL,Southeast,2017,F,Not Stated,9,62,28,3014.4,Yes
28,Alabama,AL,Southeast,2017,M,8th grade or less,1,978,27.6,3229.8,No
29,Alabama,AL,Southeast,2017,M,9th through 12th grade,2,3345,23.9,3116.2,No
30,Alabama,AL,Southeast,2017,M,High school graduate,3,9403,25.4,3190,No
31,Alabama,AL,Southeast,2017,M,Some college credit,4,6651,26.8,3240.9,No
32,Alabama,AL,Southeast,2017,M,Associate degree,5,2446,28.9,3302.9,No
33,Alabama,AL,Southeast,2017,M,Bachelor's degree,6,4624,30.4,3373.3,No
34,Alabama,AL,Southeast,2017,M,Master's degree,7,1947,31.8,3348.8,No
35,Alabama,AL,Southeast,2017,M,Doctorate,8,588,33,3313.8,No
36,Alabama,AL,Southeast,2017,M,Not Stated,9,85,26.7,3090.7,Yes
37,Alabama,AL,Southeast,2018,F,8th grade or less,1,909,27.8,3167.6,No
38,Alabama,AL,Southeast,2018,F,9th through 12th grade,2,3031,24.4,3012,Yes
39,Alabama,AL,Southeast,2018,F,High school graduate,3,8901,25.5,3064.7,Yes
40,Alabama,AL,Southeast,2018,F,Some college credit,4,6024,27,3130.8,No
41,Alabama,AL,Southeast,2018,F,Associate degree,5,2466,28.9,3176.6,No
42,Alabama,AL,Southeast,2018,F,Bachelor's degree,6,4212,30.4,3238.2,No
43,Alabama,AL,Southeast,2018,F,Master's degree,7,1869,32,3231.2,No
44,Alabama,AL,Southeast,2018,F,Doctorate,8,531,33.4,3242.2,No
45,Alabama,AL,Southeast,2018,F,Not Stated,9,50,26.9,3123.2,No
46,Alabama,AL,Southeast,2018,M,8th grade or less,1,947,28,3204.2,No
47,Alabama,AL,Southeast,2018,M,9th through 12th grade,2,3138,24.2,3110.2,No
48,Alabama,AL,Southeast,2018,M,High school graduate,3,9405,25.5,3176.7,No
49,Alabama,AL,Southeast,2018,M,Some college credit,4,6469,27,3237.6,No
50,Alabama,AL,Southeast,2018,M,Associate degree,5,2568,29,3290.3,No
51,Alabama,AL,Southeast,2018,M,Bachelor's degree,6,4621,30.5,3373,No
52,Alabama,AL,Southeast,2018,M,Master's degree,7,1988,31.9,3348.8,No
53,Alabama,AL,Southeast,2018,M,Doctorate,8,570,33.1,3321.5,No
54,Alabama,AL,Southeast,2018,M,Not Stated,9,62,27.6,3136.7,No
55,Alabama,AL,Southeast,2019,F,8th grade or less,1,1138,27.7,3128.1,No
56,Alabama,AL,Southeast,2019,F,9th through 12th grade,2,2856,24.4,3035.8,Yes
